GEO_ID,NAME,S1902_C03_001E
55009,"Brown County, Wisconsin",92757
55017,"Chippewa County, Wisconsin",88550
55025,"Dane County, Wisconsin",116689
55027,"Dodge County, Wisconsin",82093
55035,"Eau Claire County, Wisconsin",92717
55039,"Fond du Lac County, Wisconsin",87495
55055,"Jefferson County, Wisconsin",92421
55059,"Kenosha County, Wisconsin",94293
55063,"La Crosse County, Wisconsin",85953
55071,"Manitowoc County, Wisconsin",77740
55073,"Marathon County, Wisconsin",93170
55079,"Milwaukee County, Wisconsin",81379
55087,"Outagamie County, Wisconsin",99089
55089,"Ozaukee County, Wisconsin",130568
55097,"Portage County, Wisconsin",85505
55101,"Racine County, Wisconsin",91174
55105,"Rock County, Wisconsin",83352
55109,"St. Croix County, Wisconsin",113149
55111,"Sauk County, Wisconsin",85944
55117,"Sheboygan County, Wisconsin",83755
55127,"Walworth County, Wisconsin",104187
55131,"Washington County, Wisconsin",105371
55133,"Waukesha County, Wisconsin",130010
55139,"Winnebago County, Wisconsin",90685
55141,"Wood County, Wisconsin",89038